# klend-indexer demo result (B) — full slot-ordered history of obligation
# pubkey = BYojGuT56e2TUb8PQwRyT1wL5X5Ekv4kZH1HUQgBu6Zg  (hex 9CBAB5F9B9F21F08DA5F515653BBE3732287A45B8F18526E120E8767073C127B)
# paged in 1000-row pages with a (slot, write_version) cursor (klend_ro max_result_rows=1000), captured 2026-08-14 10:22:02
# columns: slot write_version health_factor_bps num_deposits num_borrows
437400419	2425	1273908	1	1
437400424	2685	1275751	1	1
437400462	2206	1277051	1	1
437400465	2043	1277776	1	1
437400524	2270	1290410	1	1
437400529	1805	1274252	1	1
437400552	2395	1274145	1	1
437400569	2472	1277967	1	1
437400572	2122	1310906	1	1
437400583	1829	1287690	1	1
437400598	1155	1278585	1	1
437400604	3112	1273373	1	1
437400627	1705	1277096	1	1
437400633	2471	1276216	1	1
437400640	1053	1308322	1	1
437400642	1102	1285938	1	1
437400651	1501	1273788	1	1
437400664	2302	1295298	1	1
437400693	2049	1271899	1	1
437400702	2284	1287770	1	1
437400705	1498	1277257	1	1
437400746	1413	1273448	1	1
437400751	1349	1278412	1	1
437400789	2020	1277152	1	1
437400799	1859	1279554	1	1
437400809	2632	1277091	1	1
437400812	2246	1275196	1	1
437400820	1794	1279549	1	1
437400837	2036	1280787	1	1
437400858	1314	1289986	1	1
437400865	1374	1284267	1	1
437400925	1888	1273903	1	1
437400927	2270	1273783	1	1
437400940	2131	1275248	1	1
437400952	2504	1273821	1	1
437400995	2520	1287288	1	1
437400998	1412	1276379	1	1
437401008	1703	1273561	1	1
437401018	1929	1278380	1	1
437401020	2048	1274205	1	1
437401029	1149	1273373	1	1
437401042	2162	1275654	1	1
437401072	2497	1276679	1	1
437401087	1211	1283057	1	1
437401139	2199	1282267	1	1
437401157	1343	1273994	1	1
437401159	1956	1275836	1	1
437401164	1285	1275334	1	1
437401187	2188	1277098	1	1
437401214	1714	1306989	1	1
437401216	1950	1298477	1	1
437401230	1454	1274143	1	1
437401235	1458	1286552	1	1
437401238	1119	1276159	1	1
437401242	2047	1283591	1	1
437401252	1305	1275266	1	1
437401257	1063	1274025	1	1
437401302	2106	1274209	1	1
437401311	2035	1289437	1	1
437401333	1670	1287072	1	1
437401370	2786	1278306	1	1
437401392	2722	1274260	1	1
437401395	1226	1275157	1	1
437401397	1452	1274045	1	1
437401401	2350	1278763	1	1
437401414	1710	1276051	1	1
437401423	2404	1273991	1	1
437401433	1270	1289517	1	1
437401435	1635	1279371	1	1
437401440	1258	1279234	1	1
437401449	1730	1273853	1	1
437401454	1620	1278864	1	1
437401533	2239	1285324	1	1
437401548	1146	1274193	1	1
437401584	1737	1328063	1	1
437401591	2375	1299432	1	1
437401593	2371	1296544	1	1
437401682	2298	1274094	1	1
437401701	2369	1274008	1	1
437401713	1413	1279532	1	1
437401725	1942	1275191	1	1
437401742	1700	1274199	1	1
437401898	2600	1283944	1	1
437401900	2392	1280750	1	1
437401905	1384	1286017	1	1
437401933	2506	1287175	1	1
437401946	1083	1282288	1	1
437401989	2093	1287529	1	1
437401996	2731	1275365	1	1
437402003	2412	1297458	1	1
